iter	Passed	Remaining
576	3781	2771
577	3787	2765
578	3793	2758
579	3800	2752
580	3806	2745
581	3812	2738
582	3820	2732
583	3827	2726
584	3833	2719
585	3840	2713
586	3846	2706
587	3853	2700
588	3859	2693
589	3866	2686
590	3872	2679
591	3879	2673
592	3885	2666
593	3892	2660
594	3898	2653
595	3904	2646
596	3910	2640
597	3917	2633
598	3924	2627
599	3931	2620
600	3937	2614
601	3944	2607
602	3950	2601
603	3957	2594
604	3964	2588
605	3970	2581
606	3977	2574
607	3983	2568
608	3989	2561
609	3997	2555
610	4003	2549
611	4010	2542
612	4017	2536
613	4023	2529
614	4030	2522
615	4036	2516
616	4042	2509
617	4050	2503
618	4056	2497
619	4063	2490
620	4070	2483
621	4076	2477
622	4083	2470
623	4089	2464
624	4095	2457
625	4102	2450
626	4108	2444
627	4115	2437
628	4121	2430
629	4128	2424
630	4134	2417
631	4141	2411
632	4147	2404
633	4153	2397
634	4160	2391
635	4167	2384
636	4173	2378
637	4180	2371
638	4186	2365
639	4192	2358
640	4198	2351
641	4204	2344
642	4211	2338
643	4217	2331
644	4224	2325
645	4231	2318
646	4237	2312
647	4244	2305
648	4250	2298
649	4256	2292
650	4263	2285
651	4269	2278
652	4276	2272
653	4283	2266
654	4290	2259
655	4297	2253
656	4303	2246
657	4310	2240
658	4316	2233
659	4324	2227
660	4331	2221
661	4338	2215
662	4344	2208
663	4351	2202
664	4358	2195
665	4364	2189
666	4371	2182
667	4377	2175
668	4384	2169
669	4390	2162
670	4397	2156
671	4403	2149
672	4410	2142
673	4416	2136
674	4422	2129
675	4429	2123
676	4435	2116
677	4442	2109
678	4448	2103
679	4455	2096
680	4461	2089
681	4468	2083
682	4474	2076
683	4481	2070
684	4487	2063
685	4494	2057
686	4500	2050
687	4507	2043
688	4513	2037
689	4520	2030
690	4526	2024
691	4533	2017
692	4539	2011
693	4546	2004
694	4552	1997
695	4558	1991
696	4565	1984
697	4572	1978
698	4578	1971
699	4585	1965
700	4592	1958
701	4598	1952
702	4604	1945
703	4610	1938
704	4617	1932
705	4623	1925
706	4630	1919
707	4636	1912
708	4643	1905
709	4649	1899
710	4655	1892
711	4662	1885
712	4668	1879
713	4675	1872
714	4681	1866
715	4687	1859
716	4694	1852
717	4700	1846
718	4707	1839
719	4713	1833
720	4720	1826
721	4726	1819
722	4733	1813
723	4739	1806
724	4746	1800
725	4752	1793
726	4759	1787
727	4765	1780
728	4771	1773
729	4778	1767
730	4784	1760
731	4791	1754
732	4797	1747
733	4804	1741
734	4810	1734
735	4816	1727
736	4823	1721
737	4829	1714
738	4836	1708
739	4843	1701
740	4849	1695
741	4856	1688
742	4863	1682
743	4869	1675
744	4875	1668
745	4882	1662
746	4889	1655
747	4895	1649
748	4902	1642
749	4909	1636
750	4915	1629
751	4921	1623
752	4928	1616
753	4934	1610
754	4941	1603
755	4947	1596
756	4954	1590
757	4961	1583
758	4967	1577
759	4974	1570
760	4980	1564
761	4986	1557
762	4993	1550
